1;Catalogue of Micro Data from National Sample Survey (NSS);Ministry of Statistics and Programme Implementation;All;The catalogue contains complete metadata of all NSS Surveys being disseminated by the Minstry of Statistics and Programme Implementation. The metadata is maintained as per DDI standard. The catalogue will be regularly updated.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
2;India - Domestic Tourism, NSS 65th Round : July 2008 - June 2009;Ministry of Statistics and Programme Implementation;PlacesModes of TravelLodgingTravel & Tourism;Domestic tourism in a country has both economic and social importance. In order to understand the various aspects of domestic tourism and its contribution to the economy, the NSSO conducted a survey during its 65th round (July 2008-June 2009).The survey was designed to collect detailed information on 'domestic tourism' in India through a household survey to provide a comprehensive assessment of household characteristics, visitor characteristics, trip characteristics and expenditure characteristics.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
3;Economic Census 2005;Ministry of Statistics and Programme Implementation;Economy;Economic Census is a complete count of all economic units in the country. The Fifth Economic Census was conducted in 2005 covering all enterprises other than crop production and certain other categories. Complete information on the economic census can be accesed from the link provided;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
4;Employment and Unemployment : NSS 61st. round : July 2004 - June 2005;Ministry of Statistics and Programme Implementation;OthersEmploymentLabour & Employment;The quinquennial surveys on employment-unemployment conducted by the National Sample Survey Organization is the primary source of data on employment and related characteristics of the population. The first such survey was done during September 1972 - October 1973 corresponding to the 27th round of NSSO. All details of the survey conducted during the 61st round * June 2004-July 2005) can be found under this link.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
5;Employment and Unemployment : NSS 66th. Round;Ministry of Statistics and Programme Implementation;EmploymentLabour & Employment;The quinquennial surveys on employment-unemployment conducted by the National Sample Survey Organization are the primary source of data on employment related characteristics of the population. The first such survey was done during September 1972 - October 1973 corresponding to the 27th round of NSSO. These surveys provide data on various indicators of labour force at National and State levels. The details of the last such all-India survey on the situation of employment and unemployment in India conducted during the period June 2009 July 2010 ( NSS 66th round) can be seen here.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
6;Employment and Unemployment Survey: NSS 38th Round : 1983;Ministry of Statistics and Programme Implementation;OthersEmploymentLabour & Employment;The National Sample Survey Organization (NSSO) carried out the first country wide quinquennial survey on Employment and Unemployment during its 27th round survey operation (September 1972-October 1975). The Employment and Unemployment surveys of National sample Survey (NSS) are primary sources of data on various indicators of labour force at National and State levels. The details of the third such all-India survey on the situation of employment and unemployment in India conducted during the period January 1983 - December 1983 can be seen here.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
7;Employment and Unemployment Survey: NSS 43rd Round : July 1987 - June 1988;Ministry of Statistics and Programme Implementation;OthersEmploymentLabour & Employment;The quinquennial Employment and Unemployment surveys of National sample Survey (NSS) are the primary sources of data on various indicators of labour force at National and State levels. These are used for planning, policy formulation, decision support and as input for further statistical exercises by various Government organizations, academicians, researchers and scholars. NSS surveys on employment and un-employment with large sample size of households have been conducted quinquennially from 27th. round(October'1972 - September'1973) of NSS onwards. Here one can obtain all details of the survey carried out during the period july 1987 - june 1988. The working Group set up for planning of the entire scheme of the survey, among other things, examined also in detail some of the key results generated from the 38th round data and recommended some stream-lining of the 38th round schedule for the use in the 43rd round. Further, it felt no need for changing the engaging the easting conceptual frame work. However, some additional items were recommended to be included in the schedule to obtain the necessary and relevant information for generating results to see the effects on participation rates in view of the ILO suggestions.5.0.1. The NSSO Governing Council approved the recommendations of the working Group and also the schedule of enquiry in its 44th meeting held on 16 January, 1987. In this survey, a nation-wide enquiry was conducted to provide estimates on various characteristics pertaining to employment and unemployment in India and some characteristics associated with them at the national and state levels. Information on various facets of employment and unemployment in India was collected through a schedule of enquiry (schedule 10).;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
8;Employment and Unemployment Survey: NSS 50th Round : July 1993 - June 1994;Ministry of Statistics and Programme Implementation;OthersEmploymentLabour & Employment;The quinquennial surveys on employment-unemployment conducted by the National Sample Survey Organization are the primary source of data on employment related characteristics of the population. The first such survey was done during September 1972 - October 1973 corresponding to the 27th round of NSSO. These surveys provide data on various indicators of labour force at National and State levels. The details of the all-India survey on the situation of employment and unemployment in India conducted during the period July 1993 - June 1994 ( NSS 50th round) can be seen here.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
9;Employment and Unemployment Survey: NSS 55th Round : July 1999 -June 2000;Ministry of Statistics and Programme Implementation;OthersEmploymentLabour & Employment;The quinquennial surveys on employment-unemployment conducted by the National Sample Survey Organization are the primary source of data on employment related characteristics of the population. The first such survey was done during September 1972 - October 1973 corresponding to the 27th round of NSSO. These surveys provide data on various indicators of labour force at National and State levels. The details of the all-India survey on the situation of employment and unemployment in India conducted during the period July 1999- June 2000 ( NSS 55th round) can be seen here;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
10;Household Consumer Expenditure 64th Round;Ministry of Statistics and Programme Implementation;Others;The 64th round survey is the nineteenth in the annual series of surveys of household consumer expenditure conducted by the National Sample Survey Organization (NSSO). NSS conducts annual surveys on a thin sample of households and a quinquennial survey on a large sample of households. Household consumer expenditure is the sum total of monetary values of all the items (i.e. goods and services) consumed by the household on domestic account during the reference period. In this link one can get all the information relating to the survey.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
11;Household Consumer Expenditure, NSS 46th Round : July 1990 - Jun1991;Ministry of Statistics and Programme Implementation;Others;National Sample Survey Organization (NSSO) conducts surveys on household consumer expenditures on a thin sample of households and a quinquennial survey on a large sample of households. Household consumer expenditure is the sum total of monetary values of all the items (i.e. goods and services) consumed by the household on domestic account during the reference period. In this link one can get all the information relating to the survey. This survey is based on a thin sample of households. All information relating to the survey can be accessed from this link.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
12;Household Consumer Expenditure 66th Round;Ministry of Statistics and Programme Implementation;Others;National Sample Survey Organization (NSSO) conducts surveys on HOUSEHOLD CONSUMER EXPENDITURES ON a thin sample of households and a quinquennial survey on a large sample of households. Household consumer expenditure is the sum total of monetary values of all the items (i.e. goods and services) consumed by the household on domestic account during the reference period. In this link one can get all the information relating to the survey. The programme of quinquennial surveys on consumer expenditure and employment & unemployment has been adopted by the National Sample Survey Office (NSSO) since 1972-73. This is a quinquennial survey and provides a host of information intended to provide a picture of the level of living of the population.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
13;Household Consumer Expenditure, NSS 38th Round : January-December, 1983;Ministry of Statistics and Programme Implementation;Others;National Sample Survey Organization (NSSO) conducts surveys on HOUSEHOLD CONSUMER EXPENDITURES ON a thin sample of households and a quinquennial survey on a large sample of households. Household consumer expenditure is the sum total of monetary values of all the items (i.e. goods and services) consumed by the household on domestic account during the reference period. In this link one can get all the information relating to the survey. The programme of quinquennial surveys on consumer expenditure and employment & unemployment has been adopted by the National Sample Survey Office (NSSO) since 1972-73. This is a quinquennial survey and provides a host of information intended to provide a picture of the level of living of the population.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
14;Household Consumer Expenditure, NSS 43rd Round :July 1987 - June 1988;Ministry of Statistics and Programme Implementation;Others;National Sample Survey Organization (NSSO) conducts surveys on HOUSEHOLD CONSUMER EXPENDITURES ON a thin sample of households and a quinquennial survey on a large sample of households. Household consumer expenditure is the sum total of monetary values of all the items (i.e. goods and services) consumed by the household on domestic account during the reference period. In this link one can get all the information relating to the survey. The programme of quinquennial surveys on consumer expenditure and employment & unemployment has been adopted by the National Sample Survey Office (NSSO) since 1972-73. This is a quinquennial survey and provides a host of information intended to provide a picture of the level of living of the population.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
15;Household Consumer Expenditure, NSS 47th Round : July - Dec 1991;Ministry of Statistics and Programme Implementation;Others;The National Sample Survey Organization (NSSO) conducts sample surveys to collect data on household consumer expenditure. In the absence of data on household income, the consumption expenditure data provide data on indicators of the level of living. Some of these surveys are based on a thin sample and the quinquennial surveys are based on a large sample. This survey is a six-month survey based on a thin sample. Household consumer expenditure is measured as the expenditure incurred by a household on domestic account during a specified period. It includes the imputed values of goods and services, which are not purchased but procured otherwise for consumption. In other words, it is the sum total of monetary values of all the items (i.e. goods and services) consumed by the household on domestic account during the reference period. Any expenditure incurred towards the productive enterprises of the households is also excluded from household consumer expenditure. To minimize recall errors, a very detailed item classification is adopted to collect information, including items of food, items of fuel, items of clothing, bedding and footwear, items of educational and medical expenses, items of durable goods and other items. The schedule has also collected some other household particulars including age, sex and educational level etc. of each household member. The schedule design for the survey is more or less similar to that adopted in the previous surveys.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
16;Household Consumer Expenditure, NSS 49th Round :Jan - June 1993;Ministry of Statistics and Programme Implementation;Others;National Sample Survey Organization (NSSO) conducts surveys on household consumer expenditures on a thin sample of households and a quinquennial survey on a large sample of households. Household consumer expenditure is the sum total of monetary values of all the items (i.e. goods and services) consumed by the household on domestic account during the reference period. In this link one can get all the information relating to the survey. This survey is based on a thin sample of households. All information relating to the survey can be accessed from this link.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
17;Household Consumer Expenditure, NSS 50th Round : July 1993 - June 1994;Ministry of Statistics and Programme Implementation;Others;National Sample Survey Organization (NSSO) conducts surveys on HOUSEHOLD CONSUMER EXPENDITURES ON a thin sample of households and a quinquennial survey on a large sample of households. Household consumer expenditure is the sum total of monetary values of all the items (i.e. goods and services) consumed by the household on domestic account during the reference period. In this link one can get all the information relating to the survey. The programme of quinquennial surveys on consumer expenditure and employment & unemployment has been adopted by the National Sample Survey Office (NSSO) since 1972-73. This is a quinquennial survey and provides a host of information intended to provide a picture of the level of living of the population.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
